number,short_description
INC0212367,unable to send webex invite with 2 different conference rooms
INC0208378,Needs help getting Webex dial conference room phone.
INC0144242,Tech Lounge: Something is broken - Webex defaults to personal conference room in outlook
INC0117180,"Conference rooms in the San Diego office, calling the room number from webex results in multiple calls coming into the room."
INC0115711,Unable to call into the Seine conference room phone from webex
INC0105631,Webex phone is not working in Joshua Tree Conference Room B2
number,short_description
INC0215116,unable to connect to public wifi
INC0214748,Can't connect to CORP Wifi in Sydney office. 
INC0214398,Not able to connect with Guest WIFI
INC0213856,Mac not connecting to WiFi
INC0213720,Unable to connect to Wifi.
INC0213388,Tech Lounge: Something is broken (No wifi connectivity)
INC0213284,Change Wifi connection on Mac now asks for Admin user login to complete
INC0213262,NOW-Corp WIFI connection broken after MacOS system update and OCTA connection not working
INC0213207,unable to connect to wifi
INC0212665,Not able to connect to Corp WIFI
INC0212643,"Can't connect to Wifi, account locked"
INC0212519,I can't connect wifi using now mobile
INC0211905,Tech Lounge: Something is broken - can't connect to wifi
INC0211763,Tech Lounge: Something is broken. cant connect to wifi on mobile
INC0211345,Unable to connect to Now-Corp WiFi
INC0211302,Tech Lounge: unable to connect to the wifi
INC0211233,Tech Lounge: Something is broken - Can't connect to wifi.
INC0211034,Tech Lounge: Something is broken. can't connect to wifi. locked out
INC0210346,Wifi is getting disconnected and is intermittently slow
INC0210208,unbale connect mobile phone to wifi
INC0210196,Tech Lounge: Something is broken - Can't connect to wifi.
INC0209983,Tech Lounge: Something is broken - Unable to connect to wifi at desk.
INC0209797,Cannot Connect to NOW-Corp Wifi Network Easily
INC0209753,"Tech Lounge: Something is broken - Wifi connects to Guest, and getting keychain pop-ups"
INC0209673,Tech Lounge: Something is broken - Can't connect to Now-Corporate wifi
INC0209435,Phone Queue - Unable to connect to wifi on plane
INC0208843,Tech Lounge: Reconnected user to wifi
INC0208441,Tech Lounge: User unable to connect to wifi on phone
INC0208182,Not able to connect to WIFI
INC0207535,wifi keeps connecting to now-guest
INC0207460,Unable to connect to SN Wifi Network
INC0206967,Unable to connect to Wifi
INC0206702,I am not able to connect my mobile phone to wifi at SF location
INC0206562,Unable to connect to Now-Corp WiFi
INC0206033,Unable to connect to Now-Corp WiFi from Falaknuma TP Room
INC0205345,My computer will not connect to Now-Corporate wifi
INC0205200,Phone Queue - Unable to connect to wifi
INC0204789,User was unable to connect to home WiFi on PC
INC0204786,Unable to connect to Corporate Wifi
INC0204780,Wifi connectivity extremely slow
INC0204689,Tech Lounge: laptop unable to connect to the wifi
INC0204606,Unable to connect to now-corp through wifi
INC0204550,Unable to connect to corporate Wifi
INC0204468,Unable to connect to wifi
INC0204429,Unable to connect to internet over ethernet or wifi
INC0204420,Wifi not getting connected
INC0204398,Tech Lounge: unable to connect to the WIFI
INC0204367,Tech Lounge: Unable to connect to the WIFI
INC0204360,Tech Lounge: Unable to connect to the WIFI
INC0204359,Tech Lounge: unable to connect to WIFI
INC0204110,Tech Lounge: Lost connection to the wifi
INC0203862,Tech Lounge: unable to connect to the wifi
INC0203718,Unable to connect to Apple Home Wifi
INC0203538,Tech Lounge: Something is broken (Wifi not connecting)
INC0203218,Can't connect to wifi in San Diego Ghostshark
INC0203098,WIFI is not getting connected on Sireesha's machine
INC0202854,Called because he couldn't get the loaner computer connected to NOW-Corp Wifi
INC0201789,my wifi keeps disconnecting and connecting to a printer
INC0201687,wifi keeps connecting to now-guest
INC0201658,Mac doesn't auto-connect to Wifi
INC0201014,Not able to connect with Corp Wifi
INC0200910,WiFi connection not possible in the office when moving from meeting room to work desk
INC0200866,Tech Lounge: WiFi connectivity issues
INC0200151,Jabber mobile app recently stopped connecting after new cert and/or WiFi changes in SD office
INC0199821,"Tech Lounge: Time was wrong, wouldn't connect to Wifi"
INC0199811,I upgraded to Siera in the Vienna office and no longer can connect to corp Wifi
INC0199793,Unable to connect to Wifi
INC0199568,Unable to connect to wifi
INC0199534,Can't connect to wifi
INC0199526,Wifi not connecting
INC0199478,Can't connect to wifi
INC0199469,Unable to connect to wifi
INC0199420,Monitor not displaying & wifi not connected
INC0199015,wifi is not getting connected now-corp
INC0198944,Tech Lounge: Something is broken (Wifi not connected)
INC0198637,Tech Lounge: Machine not connecting to Wifi from Docking Station
INC0198318,Tech Lounge: Connect Guest to Wifi
INC0198222,Unable to connect to Now-Corp Wifi
INC0197756,Tech Lounge: Something is broken (Wifi not connecting)
INC0196525,Tech Lounge: not able to connect to NOW-CORP wifi.
INC0196225,Tech Lounge: Sierra - not connecting to Wifi
INC0195965,Tech Lounge: Something is broken - Unable to connect to wifi after Sierra upgrade.
INC0194591,Tech Lounge: Something is broken - Wifi keeps disconnecting.
INC0193749,"I can connect to box on 4G hotspot, from home, but not on the Regus office wifi (with or without being on VPN). "
INC0193610,Unable to connect to NOW-Corp wifi
INC0193182,Cannot connect to airport Wifi
INC0192955,Email not synching on my mobile unless I am connected to wifi. Also unable to send emails
INC0192505,User cannot connect to wifi. Can someone please reach out? might need a new machine
INC0192383,Tech Lounge: users guest cant connect to guest wifi 
INC0192282,Can't connect to a wifi at work
INC0192062,Getting prompted to change password when connecting to CORP WiFi
INC0191863,Tech Lounge: Can't connect to the Corp wifi
INC0191210,Wall board monitor - assistance needed connecting to WiFi
INC0190976,Wifi connection is intermittent
INC0190330,Tech Lounge: Something is broken - Can't connect to wifi.
INC0189548,Tech Lounge: Something is broken - connect to wifi
INC0189512,Laptop is not able to connect to wifi
INC0186069,slow connectivity on NOW-CORP wifi
